ovoko_model_id,manufacturer,model,year_start,year_end
1,Audi,A4 S4 B5 8D,1994,1999
2,Audi,A4 S4 B5 8D,1999,2000
3,Audi,A4 S4 B6 8E 8H,2001,2005
6,Audi,A6 S6 C4 4A,1994,1997
7,Audi,A6 S6 C5 4B,1997,2005
20,Audi,A3 S3 8L,1996,2003
21,Audi,A3 S3 8P,2003,2012
22,Audi,A3 S3 8V,2013,2019
23,BMW,5 E34,1988,1996
25,Audi,A6 S6 C6 4F,2004,2011
29,BMW,7 F01 F02 F03 F04,2008,2016
30,BMW,7 E65 E66,2001,2008
31,Renault,Megane I,1995,2002
32,BMW,7 E38,1993,2001
33,BMW,7 E23,1977,1986
34,BMW,7 E32,1986,1994
36,Audi,A4 S4 B7 8E 8H,2005,2008
37,Audi,A4 S4 B8 8K,2008,2015
38,Opel,Astra F,1992,1998
44,Audi,A4 S4 B9,2015,2019
45,Volkswagen,PASSAT B8,2015,2023
46,Volkswagen,PASSAT B7,2011,2014
47,Volkswagen,PASSAT CC,2008,2016
48,Volkswagen,PASSAT B6,2005,2010
49,Volkswagen,PASSAT B5.5,2001,2005
50,Volkswagen,PASSAT B5,1997,2000
51,Volkswagen,PASSAT B4,1994,1996
52,Volkswagen,PASSAT B3,1988,1993
53,Volkswagen,PASSAT B2,1985,1988
54,Volkswagen,PASSAT,1981,1985
55,Volkswagen,PASSAT,1978,1980
56,Volkswagen,PASSAT,1973,1977
57,Volkswagen,Golf VII,2013,2019
58,Volkswagen,Golf VI,2008,2013
59,Volkswagen,Golf V,2003,2009
60,Volkswagen,Golf IV,1998,2005
61,Volkswagen,Golf III,1992,1997
62,Volkswagen,Golf II,1984,1991
63,Volkswagen,Golf I,1975,1984
64,Volkswagen,Polo V 6R,2009,2017
65,Volkswagen,Polo IV 9N3,2005,2009
66,Volkswagen,Polo III 6N 6N2 6NF,1995,2001
67,Volkswagen,Polo II 86C 2F,1982,1994
68,Volkswagen,Polo I 86,1975,1981
69,Volkswagen,Transporter - Caravelle T5,2003,2015
70,Volkswagen,Transporter - Caravelle T4,1991,2003
71,Volkswagen,Transporter - Caravelle T6,2016,
72,Volkswagen,Transporter - Caravelle T3,1980,1990
73,Volkswagen,Transporter - Caravelle T2,1967,1979
74,Volkswagen,Caddy,2011,2016
75,Volkswagen,Caddy,2004,2010
76,Volkswagen,Caddy,1979,1996
77,Volkswagen,Caddy,1996,2003
78,Volkswagen,Sharan,2011,
79,Volkswagen,Sharan,2001,2010
80,Volkswagen,Sharan,1996,2000
81,Volkswagen,Jetta VI,2011,2018
82,Volkswagen,Jetta V,2005,2010
83,Volkswagen,Jetta II,1984,1992
84,Volkswagen,Jetta I,1980,1984
85,Volkswagen,Touran I,2003,2010
86,Volkswagen,Touran II,2010,2016
87,Volkswagen,II LT,1996,2006
88,Volkswagen,I LT,1975,1996
89,Volkswagen,Vento,1992,1998
90,Volkswagen,Lupo,1998,2005
91,Volkswagen,Bora,1998,2005
92,Volkswagen,Touareg I,2002,2010
93,Volkswagen,Touareg II,2010,2018
94,Volkswagen,Tiguan,2007,2016
95,Volkswagen,Golf Plus,2005,2013
96,Volkswagen,Golf Cross,,
97,Volkswagen,Golf Sportsvan,2014,2020
98,Volkswagen,Beetle A5,2011,2018
99,Volkswagen,New Beetle,1998,2010
100,Volkswagen,Beetle 1200,1946,1985
101,Volkswagen,Beetle 1300,1946,1985
102,Volkswagen,Beetle 1500,1946,1985
103,Volkswagen,Beetle 1303,1946,1985
104,Volkswagen,Beetle 1302,1946,1985
105,Volkswagen,Crafter,2006,2016
